,City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.12,-134.97,69.1,92,100,29.66,PF,1573511011
1,ponta do sol,-20.63,-46.0,72.37,77,84,11.18,BR,1573511012
2,clyde river,70.47,-68.59,14.0,92,90,29.97,CA,1573511012
3,ivybridge,50.39,-3.92,44.01,87,20,6.93,GB,1573511012
4,georgetown,6.8,-58.16,84.2,79,75,6.93,GY,1573510889
5,jamestown,-33.21,138.6,48.85,70,36,16.04,AU,1573511013
6,albany,42.65,-73.75,43.0,74,90,3.53,US,1573510828
7,hermanus,-34.42,19.24,64.0,95,100,3.0,ZA,1573511013
8,deputatskiy,69.3,139.9,-0.13,91,99,1.21,RU,1573511014
9,cape town,-33.93,18.42,64.0,93,75,5.82,ZA,1573510971
10,castro,-42.48,-73.76,62.6,72,29,8.05,CL,1573511014
11,khatanga,71.98,102.47,1.65,97,100,2.24,RU,1573511014
12,chuy,-33.69,-53.46,64.72,73,32,13.89,UY,1573511014
13,kapaa,22.08,-159.32,82.4,74,1,9.17,US,1573511015
14,ushuaia,-54.81,-68.31,51.8,62,20,20.8,AR,1573511015
15,kiunga,-6.12,141.3,72.1,99,100,1.7,PG,1573511015
16,hilo,19.71,-155.08,87.8,52,1,10.29,US,1573510804
17,east london,-33.02,27.91,69.17,83,100,27.65,ZA,1573511016
18,severo-kurilsk,50.68,156.12,30.18,86,99,4.34,RU,1573511016
19,atuona,-9.8,-139.03,80.2,64,55,5.91,PF,1573511016
20,zhezkazgan,47.8,67.71,27.19,26,12,6.15,KZ,1573511016
21,bredasdorp,-34.53,20.04,64.0,88,100,14.99,ZA,1573511016
22,punta arenas,-53.16,-70.91,51.8,71,3,8.05,CL,1573511017
23,paita,-5.09,-81.11,62.6,100,16,11.41,PE,1573511017
24,galesong,-5.32,119.37,77.0,88,20,4.7,ID,1573511017
25,aklavik,68.22,-135.01,24.8,85,90,11.41,CA,1573511017
26,la ronge,55.1,-105.3,15.8,47,5,10.29,CA,1573511018
27,saint-philippe,45.36,-73.48,24.01,85,90,6.93,CA,1573511018
28,tuktoyaktuk,69.44,-133.03,15.8,78,90,19.46,CA,1573511018
29,vaini,15.34,74.49,66.4,82,0,4.41,IN,1573511018
30,port augusta,-32.49,137.76,59.0,62,75,17.22,AU,1573511019
31,yellowknife,62.45,-114.38,12.99,71,75,5.82,CA,1573510953
32,dingle,11.0,122.67,72.64,94,95,4.68,PH,1573511019
33,bambous virieux,-20.34,57.76,75.2,94,40,3.36,MU,1573511019
34,kulhudhuffushi,6.62,73.07,82.58,67,100,2.42,MV,1573511019
35,new norfolk,-42.78,147.06,55.4,47,40,20.8,AU,1573511020
36,qasigiannguit,68.82,-51.19,34.95,51,100,13.8,GL,1573511020
37,joensuu,62.6,29.76,35.01,98,90,9.17,FI,1573511020
38,san cristobal,14.68,-86.92,79.16,63,57,3.58,HN,1573511020
39,victoria,5.28,115.24,82.0,83,75,4.7,BN,1573510830
40,ayacucho,-13.16,-74.23,66.2,37,75,23.04,PE,1573510906
41,hualmay,-11.1,-77.61,70.03,67,83,8.39,PE,1573511021
42,qaqortoq,60.72,-46.03,32.0,76,66,12.75,GL,1573511021
43,kavieng,-2.57,150.8,78.67,83,100,3.38,PG,1573511022
44,touros,-5.2,-35.46,78.8,78,20,8.05,BR,1573511022
45,mayo,63.59,-135.9,-4.01,76,90,3.36,CA,1573511022
46,qaanaaq,77.48,-69.36,5.47,54,0,4.0,GL,1573511022
47,ribeira grande,38.52,-28.7,60.8,87,40,4.7,PT,1573511022
48,kahta,37.78,38.62,51.8,34,100,6.93,TR,1573511023
49,shiozawa,37.03,138.85,55.99,87,100,14.36,JP,1573511023
50,egvekinot,66.32,-179.17,21.61,94,100,12.12,RU,1573510933
51,kamenka,48.03,28.7,37.0,90,46,5.91,MD,1573511023
52,lorengau,-2.02,147.27,80.96,77,100,5.7,PG,1573511024
53,airai,-8.93,125.41,68.09,31,0,4.83,TL,1573511025
54,hasaki,35.73,140.83,50.0,93,20,8.05,JP,1573511025
55,isangel,-19.55,169.27,78.8,54,40,12.75,VU,1573511025
56,muroto,33.37,134.14,48.2,81,20,4.7,JP,1573511025
57,chokurdakh,70.62,147.9,4.23,91,100,2.75,RU,1573511025
58,austintown,41.1,-80.76,44.6,86,90,10.29,US,1573511026
59,busselton,-33.64,115.35,57.99,43,0,15.68,AU,1573511026
60,cherskiy,68.75,161.3,28.22,72,100,3.49,RU,1573511026
61,port alfred,-33.59,26.89,62.01,97,100,10.0,ZA,1573511027
62,zhanaozen,43.35,52.85,45.39,34,0,14.94,KZ,1573511027
63,mataura,-46.19,168.86,51.03,54,5,3.98,NZ,1573511027
64,ilulissat,69.22,-51.1,34.95,51,100,13.8,GL,1573511028
65,souillac,45.6,-0.6,42.8,93,100,2.24,FR,1573511028
66,san vicente,-0.59,-80.41,77.0,78,20,13.87,EC,1573511028
67,pevek,69.7,170.27,12.7,86,100,2.21,RU,1573511028
68,kodiak,39.95,-94.76,21.2,53,1,24.16,US,1573511029
69,khani,41.96,42.96,44.6,81,33,8.05,GE,1573511029
70,barrow,-38.31,-60.23,75.52,37,98,10.07,AR,1573511029
71,saint-pierre,48.95,4.24,41.0,93,40,11.41,FR,1573511029
72,suez,29.97,32.54,75.33,35,0,9.15,EG,1573511029
73,arraial do cabo,-22.97,-42.02,71.6,100,90,4.7,BR,1573511030
74,san carlos de bariloche,-41.13,-71.31,71.6,30,20,21.92,AR,1573511030
75,karaton,-6.34,106.1,78.8,83,40,3.36,ID,1573511030
76,codrington,-28.95,153.24,77.0,60,0,2.24,AU,1573511030
77,vao,59.1,26.19,34.92,89,92,6.42,EE,1573511030
78,moerai,-22.43,-151.33,72.9,79,14,21.5,PF,1573511031
79,maralal,1.1,36.7,66.47,75,100,18.34,KE,1573511031
80,basoko,1.23,23.61,70.59,98,100,3.91,CD,1573511031
81,cidreira,-30.17,-50.22,69.26,82,80,23.0,BR,1573511032
82,hithadhoo,-0.6,73.08,81.84,78,64,11.74,MV,1573511032
83,thompson,55.74,-97.86,-0.41,64,20,6.93,CA,1573511032
84,yendi,9.45,0.0,84.24,40,100,1.59,GH,1573511032
85,holme,56.11,10.17,41.0,86,100,10.29,DK,1573511033
86,darhan,49.49,105.92,9.91,74,100,17.65,MN,1573511033
87,nabire,-3.36,135.5,70.86,79,98,2.24,ID,1573511033
88,ambon,47.55,-2.56,52.0,87,84,4.7,FR,1573511033
89,port blair,11.67,92.75,81.7,69,84,5.77,IN,1573511034
90,port elizabeth,39.31,-74.98,61.0,66,1,3.31,US,1573511034
91,bluff,-23.58,149.07,70.16,73,0,5.84,AU,1573511034
92,san miguel,-34.54,-58.72,77.0,73,76,11.41,AR,1573511034
93,tianpeng,28.88,112.34,67.35,39,100,2.3,CN,1573511035
94,lebu,8.96,38.73,51.51,70,34,2.93,ET,1573511035
95,severnoye,54.09,52.54,29.88,97,96,6.87,RU,1573511035
96,nhulunbuy,-12.18,136.78,82.4,74,40,11.41,AU,1573511035
97,avera,33.19,-82.53,69.8,52,1,7.31,US,1573511035
98,college,64.86,-147.8,25.0,73,90,2.71,US,1573511036
99,bara,10.41,10.6,82.54,38,59,2.08,NG,1573511036
100,anadyr,64.73,177.51,33.8,80,75,13.42,RU,1573511036
101,carnarvon,-30.97,22.13,62.71,30,0,13.96,ZA,1573511036
102,saskylakh,71.97,114.09,-6.53,94,100,5.21,RU,1573511037
103,butaritari,3.07,172.79,77.14,84,100,2.93,KI,1573511037
104,hobart,-42.88,147.33,55.4,47,40,20.8,AU,1573510828
105,tomatlan,19.93,-105.25,86.32,56,100,5.06,MX,1573511038
106,ambilobe,-13.19,49.05,74.03,75,100,4.81,MG,1573511038
107,pascagoula,30.37,-88.56,73.4,78,90,5.82,US,1573510827
108,mareeba,-16.99,145.42,80.01,57,20,13.87,AU,1573511038
109,komsomolskiy,67.55,63.78,-6.69,93,35,6.06,RU,1573511039
110,antalaha,-14.9,50.28,76.84,82,99,12.86,MG,1573511039
111,zirandaro,18.45,-100.98,92.7,48,13,0.54,MX,1573511040
112,serik,36.92,31.1,62.6,45,0,10.29,TR,1573511040
113,port macquarie,-31.43,152.91,72.0,77,90,6.93,AU,1573511040
114,fairbanks,64.84,-147.72,25.0,73,90,2.91,US,1573511026
115,yamada,36.58,137.08,54.0,93,75,3.36,JP,1573511041
116,tecoanapa,16.99,-99.26,87.8,74,40,4.7,MX,1573511041
117,tromso,69.65,18.96,17.6,78,87,17.22,NO,1573511041
118,victoria point,-27.58,153.3,79.0,57,20,12.75,AU,1573511041
119,esperance,-33.86,121.89,53.6,76,90,3.36,AU,1573511042
120,sur,22.57,59.53,75.87,34,0,14.88,OM,1573511042
121,geraldton,49.72,-86.95,3.2,59,75,6.93,CA,1573511042
122,padang,-0.92,100.36,66.67,95,100,1.19,ID,1573511042
123,nsunga,-1.13,31.39,69.8,88,20,3.13,TZ,1573511043
124,invermere,50.51,-116.03,24.01,73,100,4.0,CA,1573511043
125,hun,50.34,4.87,39.99,86,87,12.75,BE,1573511043
126,beringovskiy,63.05,179.32,34.48,98,100,21.92,RU,1573511044
127,atar,20.52,-13.05,72.25,20,0,8.63,MR,1573511044
128,portland,43.66,-70.25,37.4,86,90,12.75,US,1573511044
129,katherine,-14.47,132.26,84.2,62,46,10.29,AU,1573511045
130,harper,30.3,-99.24,37.4,64,90,17.22,US,1573511045
131,pangody,65.85,74.49,3.04,95,100,13.65,RU,1573511045
132,lavrentiya,65.58,-170.99,31.77,88,100,14.76,RU,1573511046
133,puerto ayora,-0.74,-90.35,78.8,61,0,18.34,EC,1573511046
134,faya,18.39,42.45,60.8,58,0,6.96,SA,1573511046
135,tiksi,71.64,128.87,-4.29,90,100,5.26,RU,1573511047
136,north bend,43.41,-124.22,64.0,72,1,6.93,US,1573511047
137,mar del plata,-46.43,-67.52,63.0,52,0,5.95,AR,1573511047
138,okhotsk,59.36,143.24,3.6,74,7,9.71,RU,1573511047
139,thinadhoo,0.53,72.93,82.35,76,4,9.42,MV,1573511047
140,sarangani,5.4,125.46,83.35,75,100,7.47,PH,1573511048
141,paamiut,61.99,-49.67,31.89,84,98,13.62,GL,1573511048
142,faanui,-16.48,-151.75,78.96,81,40,17.2,PF,1573511048
143,san patricio,-26.98,-56.83,83.79,55,8,5.28,PY,1573511049
144,richards bay,-28.77,32.06,71.53,91,100,21.05,ZA,1573511049
145,porbandar,21.64,69.61,80.46,62,0,4.76,IN,1573510848
146,kirensk,57.78,108.12,-3.97,85,100,7.36,RU,1573511049
